Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
Absprung (TV Movie 1996) - IMDb,Hanno Brühl,N/A,Drama,Sonja Baum,1996,N/A,1h 30m
El abuelo Cheno y otras historias (Short 1994) - IMDb,Juan Carlos Rulfo,7.6,Documentary,Juan Cobián,1994,35,30m
Ace Ventura: When Nature Calls (1995) - IMDb,Steve Oedekerk,6.4,Jungle Adventure,Jim Carrey,1995,238K,1h 30m
Ace of Huskeys (Short 1995) - IMDb,Matthew Czompo,7.9,Drama,Matthew Czompo,1995,17,N/A
Ach du Fröhliche (TV Movie 1995) - IMDb,Stefan Lukschy,7.1,Comedy,Gunther Beth,1995,20,1h 25m
Achilles en het zebrapad (TV Movie 1995) - IMDb,Paula van der Oest,7.1,Drama,Erik Arens,1995,16,47m
Akropol (1996) - IMDb,Pantelis Voulgaris,6.3,Drama,Lefteris Voyatzis,1996,182,2h 5m
Across the Sea of Time (1995) - IMDb,Stephen Low,6.4,Adventure,Peter Reznick,1995,320,51m
Addicted to Murder (Video 1995) - IMDb,Kevin J. Lindenmuth,3.7,Horror,Mick McCleery,1995,140,R
The Addiction (1995) - IMDb,Abel Ferrara,6.5,Drama,Lili Taylor,1995,12K,1h 22m
"Adiós, tiburón (1996) - IMDb",Carlos Suárez,3.9,Comedy,Josema Yuste,1996,33,1h 30m
Adorjan ur Felsoeoerroel - Ein Mann aus Oberwart (Short 1995) - IMDb,Khan,N/A,Short,N/A,1995,N/A,15m
Adultère (mode d'emploi) (1995) - IMDb,Christine Pascal,5.7,Comedy,Richard Berry,1995,262,1h 35m
The Adventures of Captain Zoom in Outer Space (TV Movie 1995) - IMDb,Max Tash,5.5,Parody,Brian Levant,1995,451,1h 27m
The Adventures of Timmy the Tooth: An Eye for a Tooth (Video 1995) - IMDb,James Murray,8.3,Animation,Greg Ballora,1995,29,1995
The Adventures of Timmy the Tooth: Big Mouth Gulch (Video 1995) - IMDb,Rick Locke,7.1,Animation,Greg Ballora,1995,46,TV-Y
The Adventures of Timmy the Tooth: Lost My Brush (Video 1995) - IMDb,James Murray,8.2,Animation,Greg Ballora,1995,38,1995
The Adventures of Timmy the Tooth: Malibu Timmy (Video 1995) - IMDb,James Murray,7.1,Animation,Greg Ballora,1995,26,1995
The Adventures of Timmy the Tooth: Molar Island (Video 1995) - IMDb,James Murray,6.6,N/A,Greg Ballora,1995,30,1995
The Adventures of Timmy the Tooth: Operation: Secret Birthday Surprise (Video 1995) - IMDb,James Murray,7.5,Animation,Greg Ballora,1995,40,TV-Y
The Adventures of Timmy the Tooth: Rainy Day Adventure (Video 1995) - IMDb,James Murray,7.5,Animation,Greg Ballora,1995,26,1995
Ainsi soient-elles (1995) - IMDb,Patrick Alessandrin,4.9,Comedy,Marine Delterme,1995,128,1h 46m
Air Fright (Short 1995) - IMDb,Hubert Sielecki,N/A,Animation,Animotion Films Vienna,1995,N/A,8m
Akce clovek (1995) - IMDb,Marek Najbrt,N/A,N/A,N/A,1995,N/A,55m
Akele Hum Akele Tum (1995) - IMDb,Mansoor Khan,6.9,Drama,Aamir Khan,1995,5.6K,2h 40m
Akwarium (1996) - IMDb,Antoni Krauze,6.7,Action,Janusz Gajos,1996,219,2h 25m
"Aletta Jacobs, het hoogste streven (1995) - IMDb",Nouchka van Brakel,4.5,Biography,Luutgard Willems,1995,40,1h 5m
Alfred (1995) - IMDb,Vilgot Sjöman,4.8,Biography,Sven Wollter,1995,145,1h 58m
Das Alibi (TV Movie 1995) - IMDb,Heide Pils,8.2,Drama,Ulrich Faulhaber,1995,10,1h 35m
Galaxy Girls (1997) - IMDb,Scott Harris,5.4,Sci-Fi,Gail Thackray,1997,106,1h 25m
Alien Nation: Body and Soul (TV Movie 1995) - IMDb,Kenneth Johnson,6.4,Crime,Rockne S. O'Bannon,1995,1.1K,1h 27m
Alien Terminator (1995) - IMDb,Dave Payne,2.9,Horror,Maria Ford,1995,698,1h 20m
"Alkali, Iowa (Short 1995) - IMDb",Mark Christopher,6.8,Short,J.D. Cerna,1995,391,17m
All Men Are Liars (1995) - IMDb,Gerard Lee,6.2,Comedy,Toni Pearen,1995,327,1h 31m
All Men Are Mortal (1995) - IMDb,Ate de Jong,4.8,Drama,Steven Gaydos,1995,185,1h 33m
All That Glitters (TV Movie 1995) - IMDb,United States,N/A,N/A,N/A,1995,N/A,1995
Alltagsrot in Europa (1995) - IMDb,Christa Biedermann,N/A,N/A,N/A,1995,N/A,N/A
L'allée du roi (TV Mini Series 1996– ) - IMDb,Dominique Blanc,7.6,Drama,Dominique Blanc,1996–,318,1996–
Almost Golden: The Jessica Savitch Story (TV Movie 1995) - IMDb,Peter Werner,6.2,Biography,Sela Ward,1995,250,TV-14
Alois im Glück (1995) - IMDb,Lisi Frischengruber,N/A,N/A,Niki Nickl,1995,N/A,1h
Alpsee (Short 1995) - IMDb,Matthias Müller,7.0,Short,N/A,1995,87,15m
Als werkelijkheidszin bestaat moet mogelijkheidszin ook bestaan (1995) - IMDb,Franciska Lambrechts,N/A,Drama,Jolente De Keersmaeker,1995,N/A,1h 25m
"""Police Call 110"" Alte Freunde (TV Episode 1995) - IMDb",Markus Imboden,6.5,Crime,Kurt Böwe,TV-14,24,1h 30m
Alte Freunde küßt man nicht (TV Movie 1996) - IMDb,Detlef Rönfeldt,2.9,Comedy,Mathieu Carrière,1996,11,1h 30m
Un altro giorno ancora (1995) - IMDb,Tonino Zangardi,N/A,Drama,Valeria Cavalli,1995,N/A,1h 28m
Alva Paixão (Short 1995) - IMDb,Maria Emília de Azevedo,N/A,Drama,"August 8, 1995 (Brazil)",1995,N/A,24m
Alys Robi (TV Mini Series 1995– ) - IMDb,Joëlle Morin,7.8,Biography,Joëlle Morin,1995–,13,1h
Am I in Another World? (Short 1995) - IMDb,Julie Mathieu,N/A,Short,N/A,1995,N/A,5m
Am Morgen danach (TV Movie 1995) - IMDb,Gabriela Zerhau,N/A,Drama,Jürgen Vogel,1995,N/A,1h 35m
Am Postlageramt (Short 1995) - IMDb,Peter Chiocchetti,N/A,Short,N/A,1995,N/A,4m
Amanda & the Alien (TV Movie 1995) - IMDb,Jon Kroll,4.7,Comedy,Nicole Eggert,1995,841,R
Amaneció de golpe (1998) - IMDb,Carlos Azpúrua,5.8,Action,Manuel Aranguiz,1998,161,1h 40m
Amazing Discoveries - Der Geschmacksverstärker (Short 1995) - IMDb,Matthias Hammer,N/A,Short,N/A,1995,N/A,27m
The Amazing Panda Adventure (1995) - IMDb,Christopher Cain,5.7,Animal Adventure,John Wilcox,1995,4.5K,1h 24m
Ant Street (1995) - IMDb,Michael Glawogger,6.6,Comedy,Robert Meyer,1995,102,1h 27m
American Cop (TV Movie 1995) - IMDb,Wayne Crawford,3.9,Action,Sergei Pankratyev,1995,114,PG-13
American Job (1996) - IMDb,Chris Smith,7.4,Drama,Randy Russell,1996,238,1h 35m
The American President (1995) - IMDb,Rob Reiner,6.8,Political Drama,Michael Douglas,1995,62K,1h 54m
Amerikai magyar életsorsok: Székely András (TV Movie 1995) - IMDb,Zoltán Petrovszki,N/A,N/A,N/A,1995,N/A,1h 20m
American Daughter (1995) - IMDb,Karen Shakhnazarov,6.3,Comedy,Allison Whitbeck,1995,642,1h 38m
Sailor Moon Super S: Ami's First Love (Short 1995) - IMDb,Takuya Igarashi,7.8,Anime,Aya Hisakawa,1995,641,16m
Amodu (Short 1995) - IMDb,Uri Marantz,N/A,Comedy,Boaz Rimmer,1995,N/A,8m
Amor & Alquimia (Short 1995) - IMDb,Fernando Fragata,6.6,Comedy,Rui Poças,1995,68,22m
L'amore molesto (1995) - IMDb,Mario Martone,6.4,Drama,Anna Bonaiuto,1995,687,1h 44m
Amores que matan (1996) - IMDb,Chumilla-Carbajosa,6.8,Comedy,Chumilla-Carbajosa,1996,79,1h 30m
L'amour tagué (TV Movie 1995) - IMDb,Bruno Carrière,5.6,Drama,Bruno Carrière,1995,10,1h 30m
Amália - Uma Estranha Forma de Vida (Video 1995) - IMDb,Bruno de Almeida,7.7,Documentary,N/A,1995,53,4h 45m
And Many Happy Returns (1995) - IMDb,Owen Shapiro,N/A,Drama,Sylvia Barnett,1995,N/A,57m
Die andere Seite (Short 1995) - IMDb,Katharina Kahler,N/A,Short,N/A,1995,N/A,40m
Andjele moj dragi (1996) - IMDb,Tomislav Radic,6.1,Drama,Milan Grabovac,1996,56,1h 40m
Andolan (1995) - IMDb,Aziz Sejawal,5.0,Action,Sanjay Dutt,1995,338,3h 12m
The Android Affair (TV Movie 1995) - IMDb,Richard Kletter,4.8,Sci-Fi,Richard Kletter,1995,163,PG-13
Anekdote aus dem letzten preußischen Kriege (Short 1995) - IMDb,Zoltan Spirandelli,8.2,Short,N/A,1995,8,8m
Angel Baby (1995) - IMDb,Michael Rymer,7.0,Drama,John Lynch,1995,1.6K,1h 45m
Angel of Passion (1991) - IMDb,Jason Holt,5.0,Fantasy,Lisa Patruno,1991,76,1h 22m
Angela (1995) - IMDb,Rebecca Miller,6.3,Drama,Miranda Rhyne,1995,1.1K,1h 39m
Angels and Insects (1995) - IMDb,Philip Haas,6.8,Costume Drama,Mark Rylance,1995,4.9K,1h 56m
Les anges gardiens (1995) - IMDb,Jean-Marie Poiré,5.9,Slapstick,Gérard Depardieu,1995,3.6K,1h 50m
Angry Cafe (1995) - IMDb,Eric Koyanagi,N/A,N/A,France Nuyen,1995,N/A,N/A
Angus (1995) - IMDb,Patrick Read Johnson,6.7,Comedy,Charlie Talbert,1995,7.3K,1h 30m
Animal Instincts III (Video 1996) - IMDb,Gregory Dark,3.8,Erotic Thriller,Alexander Keith,1996,468,R
Los animales 1850-1950 (Short 1995) - IMDb,Paul Leduc,8.2,Animation,N/A,1995,7,27m
Anna (Short 1995) - IMDb,Fabrice Nordmann,7.9,Short,Lithuania,1995,17,N/A
Anna - Im Banne des Bösen (TV Movie 1995) - IMDb,Dagmar Damek,5.6,Drama,Pia Podgornik,1995,17,1h 39m
Anne Frank Remembered (1995) - IMDb,Jon Blair,8.1,Biography,Kenneth Branagh,1995,1.4K,1h 57m
Annie: A Royal Adventure! (TV Movie 1995) - IMDb,Ian Toynton,5.0,Comedy,Harold Gray,1995,836,G
L'anno prossimo... vado a letto alle dieci (1995) - IMDb,Angelo Orlando,6.3,Comedy,Angelo Orlando,1995,130,1h 34m
Les années noires (1995) - IMDb,Herménégilde Chiasson,N/A,N/A,Marcia Babineau,1995,N/A,51m
Another Froggy Evening (Short 1995) - IMDb,Chuck Jones,6.6,Animation,Don Arioli,1995,385,9m
Antes de morir (1995) - IMDb,Pablo de la Barra,N/A,N/A,Eileen Abad,1995,N/A,1h 40m
Antonia's Line (1995) - IMDb,Marleen Gorris,7.4,Comedy,Willeke van Ammelrooy,1995,9.6K,1h 42m
Antarctica (1995) - IMDb,Manuel Huerga,5.9,Crime,Ariadna Gil,1995,268,1h 46m
The Jew (1995) - IMDb,Jom Tob Azulay,6.3,Drama,Jom Tob Azulay,1995,141,1h 31m
Anything for John (TV Movie 1993) - IMDb,Dominique Cazenave,7.7,Documentary,John Cassavetes,1993,69,1h 30m
Ao Sul (1995) - IMDb,Fernando Matos Silva,N/A,Drama,Jorge Baião,1995,N/A,1h 58m
Apollo 13 (1995) - IMDb,Ron Howard,7.7,Survival,Jim Lovell,1995,322K,2h 20m
The Appointment (1996) - IMDb,Todd Wade,6.4,Thriller,Don Cummings,1996,26,1h 29m
The Apprentices (1995) - IMDb,Pierre Salvadori,7.0,Comedy,Pierre Salvadori,1995,1.2K,1h 35m
The Bait (1995) - IMDb,Bertrand Tavernier,6.8,True Crime,Marie Gillain,1995,2.4K,1h 55m
Aquel ritmillo (Short 1994) - IMDb,Javier Fesser,6.5,Comedy,Luis Ciges,1994,476,15m
The Thief and the Cobbler (1993) - IMDb,Richard Williams,7.1,Desert Adventure,Richard Williams,1993,4.8K,1h 39m
Architecture and Motion (Short 1995) - IMDb,Heidemarie Seblatnig,N/A,Short,N/A,1995,N/A,4m
El aroma del Copal (1997) - IMDb,Antonio Gonzalo,4.7,N/A,James Brolin,1997,73,1h 32m
"Jean Ziegler, le bonheur d'être Suisse (1996) - IMDb",Ana Ruiz,N/A,Documentary,N/A,1996,N/A,1h 15m
Art for Teachers of Children (1995) - IMDb,Jennifer Montgomery,6.2,Biography,Lisa Anomaiprasert,1995,106,1h 22m
Still Life: The Fine Art of Murder (1990) - IMDb,Graeme Campbell,4.5,Crime,Jason Gedrick,1990,116,1h 23m
L'homme aux semelles de vent (TV Movie 1995) - IMDb,Marc Rivière,7.2,Drama,Laurent Malet,1995,14,2h 35m
"Artus, Merlin a Prchlici (1995) - IMDb",Drahomíra Králová,4.8,Comedy,Valérie Kaplanová,1995,70,1h 15m
Asdrubal (Short 1995) - IMDb,Rui Rufino,N/A,Short,José Jorge Duarte,1995,N/A,13m
Ashita (1995) - IMDb,Nobuhiko Ôbayashi,5.5,N/A,Miyoko Akaza,1995,73,2h 21m
Ask Ölümden Soguktur (1994) - IMDb,Canan Gerede,4.8,Drama,Kadir Inanir,1994,123,1h 40m
Au petit Marguery (1995) - IMDb,Laurent Bénégui,6.8,Comedy,Laurent Bénégui,1995,360,1h 35m
L'aube à l'envers (Short 1995) - IMDb,Sophie Marceau,7.9,Biography,N/A,1995,26,10m
Audacious (Short 1995) - IMDb,Samantha Lang,5.2,Drama,Dee Smart,1995,15,25m
Auf Teufel komm raus (1995) - IMDb,Wolfgang Murnberger,5.2,N/A,Udo Samel,1995,13,1h 30m
Auf dünnem Eis (TV Movie 1995) - IMDb,Andreas Eicher,N/A,Drama,Axel Pape,1995,N/A,1h 26m
August Roads (Short 1995) - IMDb,Joshua Moss,8.6,Drama,Joe Dain,1995,30,26m
Augustin (1995) - IMDb,Anne Fontaine,5.9,Comedy,Jean-Chrétien Sibertin-Blanc,1995,136,1h 1m
Aurelia (1995) - IMDb,Christophe d'Hallivillée,N/A,N/A,Christophe d'Hallivillée,1995,N/A,1h 20m
Aurora: Operation Intercept (1995) - IMDb,Paul Levine,3.6,Action,Bruce Payne,1995,367,1h 34m
Ausgeräumt (Short 1995) - IMDb,Nina Slatosch,N/A,Short,N/A,1995,N/A,4m
Ausweglos (TV Movie 1995) - IMDb,Sigi Rothemund,6.4,Drama,August Zirner,1995,10,1h 35m
Avantyura (1995) - IMDb,Vitali Makarov,4.2,Comedy,Boris Shcherbakov,1995,21,1h 28m
The Avenging Angel (TV Movie 1995) - IMDb,Craig R. Baxley,6.0,Drama,Tom Berenger,1995,624,Not Rated
L'aventure Biodôme (TV Movie 1995) - IMDb,Bernard Gosselin,3.9,Documentary,Base de données de l'Office National du Film du Canada,1995,25,52m
Een avond in december (Short 1995) - IMDb,Ahmed Aynan,N/A,Short,N/A,1995,N/A,8m
Awake to Danger (TV Movie 1995) - IMDb,Michael Tuchner,4.8,Drama,Tori Spelling,1995,235,PG-13
An Awfully Big Adventure (1995) - IMDb,Mike Newell,5.8,Dark Comedy,Hugh Grant,1995,3.1K,1h 52m
There Was No War in 72 (1995) - IMDb,David Kreiner,6.4,Drama,Adam Abulafia,1995,26,1h 28m
BNN: K.R.S.T.M.S (TV Special 1995) - IMDb,John Jones,8.0,Comedy,John Jones,1995,6,1995
Babam Askerde (1995) - IMDb,Handan Ipekçi,6.7,Drama,Yasemin Alkaya,1995,94,1h 26m
Babe (1995) - IMDb,Chris Noonan,6.9,Animal Adventure,James Cromwell,1995,137K,1h 31m
Baby Business (1995) - IMDb,Judy Jackson,N/A,Documentary,N/A,1995,N/A,1h
Baby Face Nelson (1996) - IMDb,Scott P. Levy,5.1,Action,C. Thomas Howell,1996,232,1h 33m
"Baby, I Will Make You Sweat (1995) - IMDb",Birgit Hein,6.6,Documentary,"February 16, 1995 (Germany)",1995,19,1h 3m
The Baby-Sitters Club (1995) - IMDb,Melanie Mayron,5.7,Comedy,Schuyler Fisk,1995,6.6K,1h 34m
Babyfon - Mörder im Kinderzimmer (TV Movie 1995) - IMDb,Kaspar Heidelbach,6.1,Thriller,Nicolette Krebitz,1995,35,1995
The Babysitter's Seduction (TV Movie 1996) - IMDb,David Burton Morris,5.5,Drama,Stephen Collins,1996,1.9K,Not Rated
The Babysitter (1995) - IMDb,Guy Ferland,4.3,Drama,Alicia Silverstone,1995,6.2K,1h 30m
Back of Beyond (1995) - IMDb,Michael Robertson,4.7,Thriller,Richard J. Sawyer,1995,165,1h 25m
Backfire! (1995) - IMDb,A. Dean Bell,3.2,Parody,A. Dean Bell,1995,369,1h 33m
The Background (Short 1995) - IMDb,John Blackie,N/A,Short,Jim Gray,1995,N/A,10m
Bad Boys (1995) - IMDb,Michael Bay,6.8,Buddy Cop,George Gallo,1995,300K,1h 59m
Bad Company (1995) - IMDb,Damian Harris,5.4,Crime,Ellen Barkin,1995,3.4K,1h 48m
My Teacher's Wife (1999) - IMDb,Bruce Leddy,5.5,Comedy,Jason London,1999,2.1K,1h 29m
The White Balloon (1995) - IMDb,Jafar Panahi,7.6,Drama,Aida Mohammadkhani,1995,8.4K,1h 25m
Sixty Million Dollar Man (1995) - IMDb,Jing Wong,6.2,Comedy,Stephen Chow,1995,3K,1h 32m
Baja (Video 1995) - IMDb,Kurt Voss,5.1,Crime,Molly Ringwald,1995,434,R
Bak din rygg (1995) - IMDb,Aslaug Holm,6.3,Documentary,"November 10, 1995 (Norway)",1995,8,1h 20m
Baleritron (Short 1995) - IMDb,Tomas Hinst,N/A,Short,Eva Elsnerová,1995,N/A,19m
Ballade nach Mitternacht (Short 1995) - IMDb,Miko Zeuschner,N/A,Short,N/A,1995,N/A,N/A
Ballistic (1995) - IMDb,Kim Bass,4.5,Action,Marjean Holden,1995,338,1h 36m
Ballot Measure 9 (1995) - IMDb,Heather MacDonald,8.0,Documentary,N/A,1995,92,1h 12m
Balto (1995) - IMDb,Simon Wells,7.1,Animal Adventure,Cliff Ruby,1995,49K,1h 18m
Bandwagon (1996) - IMDb,John Schultz,7.1,Comedy,Kevin Corrigan,1996,681,1h 43m
Red Zone (1995) - IMDb,Edward Tang,5.8,Action,Kenny Ho,1995,38,1h 37m
Barbra: The Concert (TV Special 1994) - IMDb,Barbra Streisand,8.4,Music,Barbra Streisand,1994,540,2h 5m
The Barefoot Executive (TV Movie 1995) - IMDb,Susan Seidelman,4.9,Comedy,Joseph L. McEveety,1995,198,1h 37m
Barlach-Kantate - Es geht ein kräftiges Atmen (1995) - IMDb,Michael Baumgartl,N/A,N/A,LaBaum Film- und Musikproduktion,1995,N/A,1h
Barsaat (1995) - IMDb,Rajkumar Santoshi,5.6,Action,Shyam Gupta,1995,1.4K,2h 46m
Lady Into Lassie (1995) - IMDb,Aleksey Sakharov,6.8,Drama,Elena Korikova,1995,367,1h 50m
The Basketball Diaries (1995) - IMDb,Scott Kalvert,7.3,Basketball,Leonardo DiCaprio,1995,124K,1h 42m
Batman Forever (1995) - IMDb,Joel Schumacher,5.4,Superhero,Bob Kane,1995,271K,2h 1m
Baustelle (1995) - IMDb,Margarete Jahrmann,N/A,N/A,N/A,1995,N/A,N/A
Baywatch: Forbidden Paradise (Video 1995) - IMDb,Douglas Schwartz,4.7,Action,David Hasselhoff,1995,683,PG
Los baúles del retorno (1995) - IMDb,María Miró,6.9,N/A,Silvia Munt,1995,19,1h 38m
Beach Babes 2: Cave Girl Island (1995) - IMDb,David DeCoteau,3.4,Parody,Roxanne Blaze,1995,492,1h 20m
Beach House (1996) - IMDb,Leigh Scott,6.1,Comedy,Dalton James,1996,101,1h 41m
The Beach (Short 1996) - IMDb,Dorthe Scheffmann,6.7,Short,Charlie Baird,1996,40,8m
Beastmaster III: The Eye of Braxus (TV Movie 1996) - IMDb,Gabrielle Beaumont,3.9,Action,Marc Singer,1996,1.5K,PG
Beauty's Revenge (TV Movie 1995) - IMDb,William A. Graham,5.8,Drama,Courtney Thorne-Smith,1995,513,TV-14
Before Sunrise (1995) - IMDb,Richard Linklater,8.1,Drama,Ethan Hawke,1995,350K,1h 41m
Before You Go (1995) - IMDb,Nicole Betancourt,8.6,Documentary,N/A,1995,33,55m
Behind the Waterfall (1995) - IMDb,Scott Murphy,6.0,Drama,Gary Burghoff,1995,235,1h 34m
Beim nächsten Kuß knall ich ihn nieder (1996) - IMDb,Hans-Christoph Blumenberg,6.9,Biography,Peter Fitz,1996,23,1h 22m
"""Bella Block"" Liebestod (TV Episode 1995) - IMDb",Max Färberböck,7.6,Crime,Hannelore Hoger,N/A,45,1h 49m
Belmonte (1995) - IMDb,Juan Sebastián Bollaín,6.5,Biography,Achero Mañas,1995,96,1h 44m
Ben oder die Wolkenpumpe (Short 1995) - IMDb,Andreas Schmid-Thomae,N/A,Short,N/A,1995,N/A,15m
"Benjamin Spock, Baby Doctor (1995) - IMDb","September 29, 1995 (United States)",N/A,N/A,"September 29, 1995 (United States)",1995,N/A,N/A
Bericht uit de bezemkast (TV Movie 1995) - IMDb,Peter de Baan,N/A,Drama,Anita Menist,1995,N/A,1995
Bert: The Last Virgin (1995) - IMDb,Tomas Alfredson,5.8,Comedy,Michael Hjorth,1995,2.2K,1h 40m
Playboy: The Best of Anna Nicole Smith (Video 1995) - IMDb,Scott Allen,6.2,Documentary,N/A,1995,250,R
Playboy: The Best of Pamela Anderson (Video 1995) - IMDb,Vicangelo Bulluck,6.3,Documentary,Vicangelo Bulluck,1995,1.5K,R
Best of the Best 3: No Turning Back (1995) - IMDb,Phillip Rhee,4.8,Martial Arts,Phillip Rhee,1995,2.6K,1h 30m
O Bestiário ou Cortejo de Orfeu (Short 1995) - IMDb,João César Monteiro,5.6,Comedy,N/A,1995,61,7m
Betaaj Badshah (1994) - IMDb,Iqbal Durrani,4.6,Action,Raaj Kumar,1994,61,2h 46m
Betongräser (Short 1995) - IMDb,Antonin Svoboda,N/A,Short,Harald Sommer,1995,N/A,24m
The Betrayed (1995) - IMDb,Clive Gordon,8.6,Documentary,N/A,1995,51,1h 19m
Betrayed: A Story of Three Women (TV Movie 1995) - IMDb,William A. Graham,5.9,Drama,Meredith Baxter,1995,210,Not Rated
Between Love and Honor (TV Movie 1995) - IMDb,Sam Pillsbury,5.8,Drama,Grant Show,1995,145,1h 27m
"""CBS Schoolbreak Special"" Between Mother and Daughter (TV Episode 1995) - IMDb",Matthew Diamond,5.4,Adventure,A.J. Langer,N/A,22,48m
Between the Devil and the Deep Blue Sea (1995) - IMDb,Marion Hänsel,7.3,Drama,Stephen Rea,1995,538,1h 32m
Beware: Children at Play (1989) - IMDb,Mik Cribben,4.2,Dark Comedy,Michael Robertson,1989,1.5K,1h 34m
Beyond Bob (1993) - IMDb,John Gaspard,6.6,Comedy,Patrick Coyle,1993,16,1h 40m
Beyond Desire (1995) - IMDb,Dominique Othenin-Girard,4.7,Erotic Thriller,William Forsythe,1995,403,1h 27m
Beyond Rangoon (1995) - IMDb,John Boorman,6.5,Action,Patricia Arquette,1995,5.5K,1h 40m
Beyond Reason (TV Movie 1995) - IMDb,Jim O'Brien,5.0,Drama,Simon Shepherd,1995,22,1h 52m
Bidoni (1995) - IMDb,Felice Farina,5.2,Comedy,Angela Finocchiaro,1995,25,1h 35m
Big Dreams & Broken Hearts: The Dottie West Story (TV Movie 1995) - IMDb,Bill D'Elia,6.5,Biography,Michele Lee,1995,209,2h
The Big Green (1995) - IMDb,Holly Goldberg Sloan,5.5,Soccer,Steve Guttenberg,1995,11K,1h 40m
Bintou in Paris (Short 1995) - IMDb,Kirsten Johnson,N/A,Documentary,N/A,1995,N/A,15m
Biohazard: The Alien Force (Video 1994) - IMDb,Steve Latshaw,3.3,Horror,James L. Miles,1994,219,R
The Bishop's Story (1994) - IMDb,Bob Quinn,6.8,Drama,Donal McCann,1994,20,1h 25m
Sailor Moon SuperS: The Movie: Black Dream Hole (1995) - IMDb,Hiroki Shibata,7.4,Anime,Kotono Mitsuishi,1995,1.9K,1h 15m
Bismarckpolka (Short 1995) - IMDb,Thomas Freundner,N/A,Short,Jochen Nickel,1995,N/A,14m
Black Day Blue Night (1995) - IMDb,J.S. Cardone,5.8,Adventure,Gil Bellows,1995,715,1h 33m
Black Fox: Good Men and Bad (TV Movie 1995) - IMDb,Steven Hilliard Stern,5.7,Western,Christopher Reeve,1995,244,Not Rated
Black Fox: The Price of Peace (TV Movie 1995) - IMDb,Steven Hilliard Stern,5.8,Western,Matt Braun,1995,244,Not Rated
Black Rose of Harlem (1996) - IMDb,Fred Gallo,5.5,Action,Cynda Williams,1996,111,1h 27m
Black Scorpion (TV Movie 1995) - IMDb,Jonathan Winfrey,4.6,Superhero,Ashley Peldon,1995,1.3K,R
Black Silence (1995) - IMDb,W. Mel Martins,6.0,Drama,John Barrett,1995,49,N/A
Blah Blah Blah (Short 1995) - IMDb,Julie Delpy,7.2,Short,Julie Delpy,1995,48,12m
Blau ist sichtbar gemachte Finsternis (Short 1995) - IMDb,Tina Triste,N/A,Short,N/A,1995,N/A,16m
Blaustich (Short 1995) - IMDb,Hannes Klein,N/A,Short,N/A,1995,N/A,2m
Der Blinde (TV Movie 1996) - IMDb,Peter Keglevic,4.7,Crime,Joachim Kemmer,1996,29,45m
"Young Blood, Fresh Meat (1995) - IMDb",David DeCoteau,3.4,Horror,Julie Strain,1995,365,1h 20m
Blondes Have More Guns (1996) - IMDb,George Merriweather,4.5,Parody,Michael McGaharn,1996,232,1h 30m
Blood & Donuts (1995) - IMDb,Holly Dale,5.9,Comedy,Gordon Currie,1995,1.4K,1h 29m
Blood Justice (1995) - IMDb,Serge Rodnunsky,3.8,Action,Aaron Abbott,1995,19,1h 27m
Blood Ring 2 (1995) - IMDb,Teddy Page,5.0,Action,Dale Cook,1995,55,1h 28m
Blood & Peaches (TV Series 1995) - IMDb,Rosemary Leach,8.1,Drama,Rosemary Leach,1995,23,1h 15m
"""Tales of the Wild"" Le sang du chasseur (TV Episode 1995) - IMDb",Gilles Carle,5.5,Adventure,Michael Biehn,PG-13,120,1h 33m
"BloodSisters: Leather, Dykes and Sadomasochism (1995) - IMDb",Michelle Handelman,7.2,Documentary,Skeeter,1995,67,1h 9m
Bloodfist VII: Manhunt (Video 1995) - IMDb,Jonathan Winfrey,4.6,Action,Don Wilson,1995,430,R
Bloodknot (TV Movie 1995) - IMDb,Jorge Montesi,4.5,Crime,Margot Kidder,1995,354,R
Bloodscent (1995) - IMDb,Bill Randolph,5.1,Horror,Eric Boring,1995,18,1h 23m
Bloodsport 2 (1996) - IMDb,Alan Mehrez,4.8,Action,Daniel Bernhardt,1996,3.8K,1h 30m
Blue Juice (1995) - IMDb,Carl Prechezer,5.1,Comedy,Peter Salmi,1995,3K,1h 30m
Blue Murder (TV Mini Series 1995) - IMDb,Richard Roxburgh,8.2,True Crime,Richard Roxburgh,1995,1.1K,3h 18m
Blue River (TV Movie 1995) - IMDb,Larry Elikann,5.5,Drama,Jerry O'Connell,1995,323,PG-13
Blue Skies Are a Lie (1996) - IMDb,Gregory Ruzzin,7.6,Comedy,Keith Brunsmann,1996,27,N/A
Blue in the Face (1995) - IMDb,Paul Auster,6.6,Comedy,Paul Auster,1995,10K,1h 23m
Blutige Spur (TV Movie 1995) - IMDb,Carlo Rola,4.7,Psychological Drama,Jan Niklas,1995,13,1h 34m
"Love, Guns and Glass (1995) - IMDb",Kai Keung Lai,6.5,Action,Simon Yam,1995,26,1h 45m
Bobby Jones (1995) - IMDb,Darryl D. Lassiter,5.6,N/A,N/A,1995,10,N/A
The Seventh Brother (1991) - IMDb,Jenõ Koltai,6.7,Animation,Attila Dargay,1991,742,1h 14m
Mouth to Mouth (1995) - IMDb,Manuel Gómez Pereira,6.4,Satire,Manuel Gómez Pereira,1995,1.8K,1h 46m
Bodily Harm (1995) - IMDb,James Lemmo,4.9,Erotic Thriller,Linda Fiorentino,1995,378,1h 31m
